,moltype,stereo_type,nm_b3lyp,nm_wf,nm_wfr,nm_wf_refine
452,ketone,no_stereo,274.5,255,256,258
453,ketone,trans,257.5,255,256,257
454,ketone,trans,245.2,255,256,257
455,ketone,trans,241.8,255,242,238
456,ketone,cis,233.4,255,245,243
457,ketone,cis,242.7,255,245,235
458,ketone,cis,250.6,255,256,254
459,ketone,no_stereo,231.7,255,237,239
460,ketone,trans,238.3,255,237,238
461,ketone,cis,227.6,237,242,239
462,ketone,cis,242.1,255,245,243
463,ketone,cis,235.9,237,245,244
464,ketone,cis,261.0,255,256,254
465,ketone,cis,232.2,255,237,235
466,ketone,no_stereo,244.3,262,260,260
467,ketone,trans,254.4,280,263,263
468,ketone,trans,269.9,262,263,259
469,ketone,trans,264.1,280,274,274
470,ketone,trans,262.3,280,260,255
471,ketone,cis,234.6,262,260,256
472,ketone,cis,268.0,280,263,260
473,ketone,trans,256.6,280,263,263
474,ketone,trans,262.2,280,274,263
475,ketone,cis,252.0,280,263,260
476,ketone,cis,248.1,280,263,260
477,ketone,cis,282.9,262,263,256
478,ketone,cis,264.2,280,263,260
479,ketone,no_stereo,276.8,262,263,265
480,ketone,trans,266.1,280,274,274
481,ketone,cis,247.0,280,263,252
482,ketone,cis,249.2,262,263,261
483,ketone,cis,292.6,280,274,271
484,ketone,cis,265.6,280,274,260
485,ketone,cis,264.7,280,274,271
486,ketone,no_stereo,270.6,280,274,275
487,ketone,cis,267.5,280,274,271
488,ketone,cis,255.9,280,274,271
489,ketone,cis,247.1,280,260,252
490,ketone,trans,247.2,280,263,263
491,ketone,trans,252.7,280,263,255
492,ketone,trans,258.4,280,274,274
493,ketone,no_stereo,242.3,280,255,256
494,ketone,cis,244.0,280,255,252
495,ketone,trans,268.7,262,260,259
496,ketone,trans,272.6,280,263,263
497,ketone,trans,272.0,262,263,264
498,ketone,trans,280.0,280,274,274
499,ketone,trans,254.3,280,255,255
500,ketone,no_stereo,266.4,242,259,259
501,ketone,trans,262.4,260,262,262
502,ketone,trans,261.3,242,262,258
503,ketone,trans,271.1,260,273,273
504,ketone,trans,249.4,260,259,254
505,ketone,cis,246.7,242,259,255
506,ketone,cis,270.7,260,262,259
507,ketone,no_stereo,270.2,260,262,263
508,ketone,trans,265.0,260,262,262
509,ketone,trans,272.4,260,273,262
510,ketone,cis,251.6,260,262,259
511,ketone,cis,254.9,260,262,259
512,ketone,cis,279.3,242,262,255
513,ketone,cis,263.8,260,262,259
514,ketone,trans,276.4,260,273,273
515,ketone,cis,277.5,260,262,251
516,ketone,cis,252.3,242,262,260
517,ketone,cis,269.7,260,273,270
518,ketone,cis,283.4,260,273,259
519,ketone,cis,287.2,260,273,270
520,ketone,no_stereo,282.3,260,273,274
521,ketone,cis,279.5,260,273,270
522,ketone,cis,259.2,260,273,270
523,ketone,cis,244.6,260,259,251
524,ketone,trans,249.6,260,262,262
525,ketone,trans,256.0,260,262,254
526,ketone,trans,289.1,260,273,273
527,ketone,no_stereo,246.8,260,254,255
528,ketone,cis,247.0,260,254,251
529,ketone,trans,256.7,242,259,258
530,ketone,trans,264.7,260,262,262
531,ketone,trans,259.9,242,262,263
532,ketone,trans,272.3,260,273,273
533,ketone,trans,272.2,260,254,254
534,ketone,no_stereo,266.5,252,269,270
535,ketone,trans,267.3,270,272,273
536,ketone,trans,278.8,252,272,269
537,ketone,trans,288.7,270,283,284
538,ketone,trans,257.5,270,269,265
539,ketone,cis,258.4,252,269,266
540,ketone,cis,270.9,270,272,270
541,ketone,no_stereo,274.3,270,272,274
542,ketone,trans,268.0,270,272,273
543,ketone,trans,294.3,270,283,273
544,ketone,cis,264.2,270,272,270
545,ketone,cis,264.6,270,272,270
546,ketone,cis,274.7,252,272,266
547,ketone,cis,272.6,270,272,270
548,ketone,no_stereo,298.0,252,272,275
549,ketone,trans,295.6,270,283,284
550,ketone,cis,271.4,270,272,262
551,ketone,cis,266.2,252,272,271
552,ketone,cis,283.2,270,283,281
553,ketone,cis,276.0,270,283,270
554,ketone,cis,295.7,270,283,281
555,ketone,cis,297.6,270,283,281
556,ketone,cis,270.0,270,283,281
557,ketone,cis,252.8,270,269,262
558,ketone,trans,259.6,270,272,273
559,ketone,trans,267.2,270,272,265
560,ketone,trans,286.4,270,283,284
561,ketone,no_stereo,258.5,270,264,266
562,ketone,cis,250.1,270,264,262
563,ketone,trans,266.3,252,269,269
564,ketone,trans,271.6,270,272,273
565,ketone,trans,276.9,252,272,274
566,ketone,trans,284.4,270,283,284
567,ketone,trans,279.7,270,264,265
568,ketone,no_stereo,266.2,262,269,270
